id,firm_id,dimension,value,notes
1,1,Founded,1949,
2,1,Years operating,77,
3,1,Aggregate recovered claimed,$1B+,
4,1,Number of attorneys,~7-9,
5,1,Locations,Clayton,
6,1,Founder identity,Multi-gen legacy (Singer son),
7,1,Brand archetype,Heritage trial firm,
8,1,Tagline hook,Protecting STL Since 1949,
9,1,Trial readiness claim,Yes - comes prepared,
10,1,Verifiable individual trial counts,Not disclosed per-atty,
11,1,Defense-side experience,VAGUE - claims former defense attys,
12,1,Caseload disclosed commitment,No,
13,1,Practice focus,Generalist PI,
14,1,Specialty depth claim,Generalist scale,
15,1,Content investment level,Active social with attorney intros,
16,1,Podcast presence,,
17,1,Social FB likes,8195,
18,1,Brand voice,Heritage warmth,
19,1,Education connection,"Mixed (Wash U, others)",
20,1,Community foundation,Long-standing community work,
21,1,Anti-marketing posture,None - universal fit,
22,1,Family/heritage framing,Strong (1949 legacy),
23,1,Trial attorney count visible,Multiple (rotating),
24,2,Founded,1985+,
25,2,Years operating,40+,
26,2,Aggregate recovered claimed,$500M+,
27,2,Number of attorneys,~10+,
28,2,Locations,St. Louis,
29,2,Founder identity,Mark Cantor solo brand,
30,2,Brand archetype,Founder personality,
31,2,Tagline hook,Count on Cantor,
32,2,Trial readiness claim,Generic,
33,2,Verifiable individual trial counts,Aggregate only,
34,2,Defense-side experience,Not claimed,
35,2,Caseload disclosed commitment,No,
36,2,Practice focus,Generalist PI,
37,2,Specialty depth claim,Local generalist,
38,2,Content investment level,Daily generic posts,
39,2,Podcast presence,,
40,2,Social FB likes,892,
41,2,Brand voice,Sales-aggressive,
42,2,Education connection,Harris-Stowe (Mark teaches),
43,2,Community foundation,Foundation 2019 - multi-cause,
44,2,Anti-marketing posture,,
45,2,Family/heritage framing,Family-style like ours,
46,2,Trial attorney count visible,1-2 (Mark prominent),
47,3,Founded,Multi-decade,
48,3,Years operating,30+,
49,3,Aggregate recovered claimed,$2B+,
50,3,Number of attorneys,~50+,
51,3,Locations,Multi-state,
52,3,Founder identity,John Simon celebrity,
53,3,Brand archetype,Celebrity attorney,
54,3,Tagline hook,Prepare every case as if for trial,
55,3,Trial readiness claim,Yes - strong,
56,3,Verifiable individual trial counts,$462M trucking verdict,
57,3,Defense-side experience,Not claimed,
58,3,Caseload disclosed commitment,No,
59,3,Practice focus,Multi-state PI + class actions,
60,3,Specialty depth claim,Trucking + class action,
61,3,Content investment level,4 podcasts (heavy investment),
62,3,Podcast presence,FOUR active podcasts,
